Index,File,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.01-light-in-august.txt,1.47E-05,2.45E-05,2.47E-05,0.06819346865,1.32E-05,0.1378824898,2.74E-05,5.19E-06,5.51E-05,3.00E-05,0.0273101344,1.20E-05,9.69E-06,3.82E-04,0.1294919204,1.90E-05,2.93E-05,2.26E-05,3.00E-05,4.90E-04,0.2961734721,0.01527109379,5.71E-06,6.41E-06,1.82E-05,0.03806077273,2.51E-05,1.22E-05,2.95E-05,4.39E-05,1.07E-04,5.20E-05,4.75E-05,3.08E-05,2.76E-06,6.79E-05,1.52E-05,1.80E-05,0.01315382476,1.46E-05,8.03E-06,0.1336722651,0.02557832861,9.42E-06,2.30E-05,2.24E-05,1.72E-05,1.40E-04,0.1133031177,2.74E-06
1,1.02-light-in-august.txt,1.62E-05,2.69E-05,2.71E-05,0.04944832762,1.44E-05,0.1515286612,3.00E-05,0.001173463749,6.04E-05,3.28E-05,0.0287681365,1.32E-05,1.06E-05,2.91E-05,0.1220900064,0.309480154,3.21E-05,2.48E-05,3.28E-05,0.00365130945,9.20E-06,0.02374598075,6.26E-06,7.03E-06,1.99E-05,0.03276727161,2.76E-05,1.34E-05,0.001978628313,4.82E-05,0.006345276072,4.46E-04,8.31E-04,3.38E-05,3.03E-06,7.44E-05,1.66E-05,1.97E-05,1.60E-05,1.60E-05,8.80E-06,0.06516967731,0.04205084502,1.03E-05,4.14E-04,2.46E-05,1.88E-05,0.001321735367,0.1580621676,3.00E-06
2,1.03-light-in-august.txt,1.99E-05,3.31E-05,5.12E-04,0.0866600579,1.77E-05,0.03268395787,3.69E-05,7.00E-06,7.43E-05,4.04E-05,0.03872923475,1.62E-05,1.31E-05,3.58E-05,0.1434414974,0.008642244188,3.95E-05,3.05E-05,4.04E-05,1.82E-04,1.13E-05,0.01196907161,7.70E-06,8.64E-06,2.45E-05,0.007744877266,3.39E-05,1.64E-05,3.98E-05,5.92E-05,0.003016277947,7.01E-05,0.001500169036,4.16E-05,3.73E-06,9.15E-05,2.05E-05,2.42E-05,1.97E-05,1.96E-05,1.08E-05,0.09929200546,0.02490597005,1.27E-05,0.008647528943,0.2987381285,2.32E-05,0.01550769701,0.2168797885,3.69E-06
3,1.04-light-in-august.txt,1.69E-05,2.81E-05,2.84E-05,0.1221632587,1.51E-05,0.2835006153,3.14E-05,5.95E-06,4.70E-04,3.44E-05,0.06185074839,1.38E-05,1.11E-05,3.04E-05,0.1733100058,0.1128069823,0.001662288656,2.59E-05,3.43E-05,1.55E-04,9.63E-06,0.03786786045,6.55E-06,0.01385101324,2.09E-05,4.80E-04,2.88E-05,1.40E-05,3.38E-05,5.04E-05,5.30E-04,5.96E-05,5.45E-05,3.53E-05,3.17E-06,4.85E-04,1.74E-05,2.06E-05,1.67E-05,1.67E-05,9.21E-06,0.06002479079,0.01833410117,1.08E-05,2.63E-05,2.57E-05,1.97E-05,1.61E-04,0.111588589,3.14E-06
4,1.05-light-in-august.txt,1.97E-05,3.27E-05,3.30E-05,1.54E-05,1.76E-05,1.31E-04,9.83E-04,6.92E-06,7.35E-05,3.99E-05,0.2362244038,1.60E-05,1.29E-05,3.54E-05,0.1376180262,0.07815049646,3.91E-05,3.01E-05,5.13E-04,0.02480126655,0.001431651321,0.03456603018,7.62E-06,8.55E-06,2.43E-05,0.2908048602,3.35E-05,1.62E-05,3.93E-05,5.86E-05,0.003456915673,6.93E-05,6.34E-05,0.003355504068,3.69E-06,9.05E-05,2.02E-05,2.39E-05,1.95E-05,1.94E-05,1.07E-05,0.140350908,0.009956689547,1.26E-05,3.06E-05,2.99E-05,4.96E-04,0.002081221755,0.03411995797,3.65E-06
5,1.06-light-in-august.txt,1.55E-05,2.58E-05,2.60E-05,1.22E-05,1.38E-05,0.02098312985,2.87E-05,0.01752970751,0.006769278068,3.15E-05,0.1017544941,1.26E-05,1.02E-05,2.79E-05,0.1922630234,2.00E-05,3.08E-05,2.37E-05,3.15E-05,0.001633187232,3.82E-04,0.04474402874,0.148775732,6.73E-06,1.91E-05,0.009388163067,2.64E-05,1.28E-05,3.10E-05,4.61E-05,0.006823644895,5.46E-05,0.002287045259,0.005998073158,2.90E-06,4.44E-04,1.59E-05,1.89E-05,1.53E-05,1.53E-05,8.43E-06,0.2261078915,0.04699054254,9.89E-06,2.41E-05,2.35E-05,1.80E-05,0.003503185849,0.1629611196,2.88E-06
6,1.07-light-in-august.txt,1.69E-05,2.81E-05,2.83E-05,1.33E-05,1.51E-05,0.01476464645,3.14E-05,0.1957733779,0.006168173401,4.41E-04,0.1171776954,1.38E-05,1.11E-05,3.04E-05,0.1484124145,0.006126837955,3.36E-05,2.59E-05,3.43E-05,0.006666757294,9.62E-06,0.04436446235,6.55E-06,7.35E-06,2.09E-05,0.0729260222,0.02159985405,1.40E-05,3.38E-05,5.04E-05,0.006227518881,5.96E-05,5.45E-05,3.53E-05,3.17E-06,7.78E-05,1.74E-05,2.06E-05,0.009377761354,1.67E-05,9.20E-06,0.2504767747,0.01669863564,1.08E-05,2.63E-05,2.57E-05,1.97E-05,0.002195987252,0.07979710335,3.14E-06
7,1.08-light-in-august.txt,1.39E-05,2.31E-05,0.003036372709,1.09E-05,1.24E-05,0.01582749896,2.58E-05,0.2798846441,5.20E-05,2.82E-05,0.07194692573,1.13E-05,9.14E-06,2.50E-05,0.2114661815,0.006044071181,2.76E-05,2.13E-05,2.82E-05,0.01351866168,7.92E-06,0.02745344333,5.38E-06,0.001010395542,1.72E-05,0.02851660814,2.37E-05,1.15E-05,0.001032170541,4.14E-05,0.01382692862,3.84E-04,3.80E-04,2.91E-05,2.61E-06,0.002407487422,1.43E-05,1.69E-05,1.38E-05,0.00235721617,7.57E-06,0.1631808449,0.004026953875,8.88E-06,0.001695570109,2.11E-05,1.62E-05,0.003145478211,0.1483299901,2.58E-06
8,1.09-light-in-august.txt,2.03E-05,3.38E-05,0.02056192366,1.59E-05,1.81E-05,1.35E-04,3.77E-05,0.1549438278,7.58E-05,4.12E-05,0.1514690599,1.66E-05,1.33E-05,0.002969106827,0.1826243407,2.62E-05,4.04E-05,3.11E-05,4.12E-05,0.02364627157,1.16E-05,0.03030471332,7.86E-06,8.82E-06,0.005401398954,0.01523903725,3.46E-05,1.68E-05,4.06E-05,0.001037987414,0.01041105863,7.16E-05,6.54E-05,0.002486227803,3.81E-06,5.82E-04,0.006374760068,2.47E-05,2.01E-05,2.00E-05,1.11E-05,0.2851522655,0.01125539202,1.30E-05,3.16E-05,3.08E-05,2.36E-05,0.01143478363,0.08311900905,3.77E-06
9,1.10-light-in-august.txt,3.13E-05,5.20E-05,5.24E-05,2.46E-05,0.001533946115,0.0484012299,0.001564070984,0.04669786117,0.008400006386,6.35E-05,0.1618266011,2.55E-05,2.06E-05,5.63E-05,0.1247358691,4.04E-05,6.22E-05,4.79E-05,6.35E-05,0.05600931095,1.78E-05,0.0790689639,0.005283207505,1.36E-05,3.86E-05,0.1356772722,5.33E-05,2.58E-05,6.26E-05,8.46E-04,0.002485695106,0.007640420218,1.01E-04,6.54E-05,5.86E-06,0.003155999313,3.22E-05,3.81E-05,0.0452117944,3.09E-05,1.70E-05,0.1863111825,0.02261187109,2.00E-05,4.87E-05,4.75E-05,7.89E-04,0.001050856458,0.0595342052,5.81E-06
10,1.11-light-in-august.txt,1.61E-05,2.68E-05,0.004678158921,1.26E-05,1.44E-05,0.04235535499,2.99E-05,5.67E-06,6.01E-05,0.003133480843,0.07399436941,1.31E-05,1.06E-05,2.90E-05,0.1467632937,4.08E-04,3.20E-05,2.47E-05,3.27E-05,0.002085352504,0.001559553473,0.01628038877,6.23E-06,7.00E-06,1.99E-05,0.01634847807,2.74E-05,1.33E-05,4.20E-04,4.36E-04,0.004380235877,0.003545141954,0.009741812744,3.36E-05,3.02E-06,0.001624481656,1.66E-05,1.96E-05,0.2767604382,1.59E-05,0.007373113642,0.1354345363,0.04884831026,1.03E-05,2.51E-05,0.01552834649,0.003894727367,5.41E-04,0.1833572797,2.99E-06
11,1.12-light-in-august.txt,1.34E-05,2.24E-05,2.25E-05,1.06E-05,1.20E-05,0.02467705109,0.001966058695,0.01165145862,0.008461730397,2.73E-05,0.0947607677,1.10E-05,8.83E-06,2.42E-05,0.1603524222,0.04369257495,2.67E-05,2.06E-05,3.51E-04,0.00659340746,7.65E-06,0.02102989865,5.20E-06,5.84E-06,1.66E-05,0.06540899867,2.29E-05,1.11E-05,9.97E-04,6.87E-04,9.74E-05,0.005547224851,4.33E-05,0.006498490344,2.52E-06,3.85E-04,1.38E-05,1.64E-05,0.1320095481,1.33E-05,7.32E-06,0.2291884096,0.02394971487,8.58E-06,2.09E-05,2.04E-05,1.57E-05,1.28E-04,0.1611328753,2.50E-06
